key,key1
1000944CS2000371,1000944CS200037
1001005CS2000061,1001005CS200006
1000085CS3000021,1000085CS300002
1000199CS3000011,1000199CS300001
1000591CS1000101,1000591CS100010
1000591CS2000031,1000591CS200003
1000553CS3000181,1000553CS300018
1001492CS1000021,1001492CS100002
1000049CS1000011,1000049CS100001
1000034CS1000101,1000034CS100010
1000077CS1000101,1000077CS100010
1000655CS1000081,1000655CS100008
1001210CS3000021,1001210CS300002
1000130CS1000011,1000130CS100001
1000604CS3000181,1000604CS300018
1001492CS3000161,1001492CS300016
1000020CS2000081,1000020CS200008
1000260CS3000331,1000260CS300033
1001243CS1000051,1001243CS100005
1000057CS3000011,1000057CS300001
1000111CS1000091,1000111CS100009
1000402CS2000191,1000402CS200019
1000058CS2000281,1000058CS200028
1000395CS3000071,1000395CS300007
1000592CS3000221,1000592CS300022
1000072CS1000041,1000072CS100004
1000950CS2000011,1000950CS200001
1000592CS3000321,1000592CS300032
1000591CS3000221,1000591CS300022
1000592CS2000301,1000592CS200030
1000322CS3000181,1000322CS300018
1000078CS1000101,1000078CS100010
1000563CS1000101,1000563CS100010
1000713CS1000011,1000713CS100001
1000554CS3000221,1000554CS300022
1000081CS2000281,1000081CS200028
1001180CS3000021,1001180CS300002
1000598CS3000211,1000598CS300021
1001085CS1000011,1001085CS100001
1000336CS1000011,1000336CS100001
1001085CS1000071,1001085CS100007
1001147CS1000101,1001147CS100010
1001147CS1000081,1001147CS100008
1000645CS3000211,1000645CS300021
1000079CS1000101,1000079CS100010
1000082CS3000031,1000082CS300003
1000079CS3000031,1000079CS300003
1001145CS3000021,1001145CS300002
1000705CS2000281,1000705CS200028
1001038CS1000071,1001038CS100007
1001064CS3000021,1001064CS300002
1001477CS3000211,1001477CS300021
1001254CS2000371,1001254CS200037
1001166CS1000051,1001166CS100005
1000875CS1000021,1000875CS100002
1001149CS2000161,1001149CS200016
1001491CS2000071,1001491CS200007
1001149CS3000111,1001149CS300011
1001491CS2000061,1001491CS200006
1001021CS2000071,1001021CS200007
1000629CS3000271,1000629CS300027
1001491CS2000081,1001491CS200008
1000896CS3000361,1000896CS300036
1000063CS3000011,1000063CS300001
1001095CS3000331,1001095CS300033
1000896CS1000091,1000896CS100009
1000063CS3000071,1000063CS300007
1000629CS2000281,1000629CS200028
1000634CS1000091,1000634CS100009
1000653CS2000021,1000653CS200002
1000609CS1000091,1000609CS100009
1000610CS2000281,1000610CS200028
1000633CS2000281,1000633CS200028
1000127CS1000091,1000127CS100009
1000633CS2000251,1000633CS200025
1000100CS2000061,1000100CS200006
1000652CS3000091,1000652CS300009
1000650CS3000181,1000650CS300018
1001422CS3000181,1001422CS300018
1001187CS3000181,1001187CS300018
1001422CS2000281,1001422CS200028
1000612CS3000101,1000612CS300010
1000650CS2000011,1000650CS200001
1001067CS1000031,1001067CS100003
1001266CS3000221,1001266CS300022
1000102CS1000041,1000102CS100004
1001429CS3000101,1001429CS300010
1000161CS2000281,1000161CS200028
1000658CS1000011,1000658CS100001
1000614CS1000011,1000614CS100001
1001026CS1000091,1001026CS100009
1000100CS1000091,1000100CS100009
1000360CS3000021,1000360CS300002
1001027CS3000021,1001027CS300002
1000657CS3000011,1000657CS300001
1000659CS1000081,1000659CS100008
1000653CS2000281,1000653CS200028
1001027CS1000061,1001027CS100006
1000659CS3000021,1000659CS300002
1000618CS2000371,1000618CS200037
1000613CS1000091,1000613CS100009
1000162CS1000061,1000162CS100006
1000773CS3000111,1000773CS300011
1001021CS1000081,1001021CS100008
1001023CS3000281,1001023CS300028
1000773CS1000011,1000773CS100001
1001021CS3000101,1001021CS300010
