시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 영등포구 신길동,3002,3002,0,남서울,66.12,202302,4,"89,000",5,1974,신길로 108
서울특별시 서초구 반포동,757,757,0,반포주공1단지,104.89,202302,23,"427,000",6,1974,신반포로 9
서울특별시 용산구 이촌동,300-10,300,10,점보,177.62,202307,27,"185,000",7,1974,이촌로88길 3
서울특별시 용산구 이촌동,300-10,300,10,점보,217.36,202303,25,"195,000",7,1974,이촌로88길 3
서울특별시 용산구 이촌동,300-10,300,10,점보,217.36,202303,25,"195,000",7,1974,이촌로88길 3
서울특별시 강남구 신사동,510-11,510,11,강남상가,130.61,202307,1,"112,700",8,1974,압구정로2길 46
서울특별시 용산구 이촌동,300-10,300,10,점보,177.62,202307,1,"200,000",8,1974,이촌로88길 3
서울특별시 용산구 이촌동,302-86,302,86,빌라맨션,229.75,202311,16,"250,000",9,1974,이촌로 156
서울특별시 용산구 이촌동,301-160,301,160,현대맨숀,173.16,202310,26,"279,998",9,1974,이촌로 303
서울특별시 영등포구 여의도동,51,51,0,삼익,122.78,202310,12,"238,000",9,1974,국제금융로 109
서울특별시 영등포구 여의도동,52,52,0,은하,121.52,202306,23,"210,000",9,1974,63로 7
서울특별시 용산구 이촌동,301-160,301,160,현대맨숀,146.38,202310,19,"245,000",11,1974,이촌로 303
서울특별시 용산구 이촌동,301-160,301,160,현대맨숀,139.97,202312,27,"210,000",12,1974,이촌로 303
서울특별시 영등포구 여의도동,52,52,0,은하,121.52,202306,23,"210,000",12,1974,63로 7
서울특별시 용산구 이촌동,302-86,302,86,빌라맨션,229.75,202312,15,"245,000",13,1974,이촌로 156
서울특별시 용산구 이촌동,300-10,300,10,점보,177.62,202308,24,"208,000",14,1974,이촌로88길 3
서울특별시 용산구 이촌동,300-10,300,10,점보,177.62,202310,19,"190,000",17,1974,이촌로88길 3
서울특별시 용산구 이촌동,302-86,302,86,빌라맨션,20.26,202303,22,"25,000",18,1974,이촌로 156
서울특별시 용산구 이촌동,302-86,302,86,빌라맨션,20.26,202303,9,"25,000",18,1974,이촌로 156
서울특별시 구로구 개봉동,366-1,366,1,왕궁,65.46,202311,27,"27,200",1,1975,개봉로1길 22
서울특별시 강북구 수유동,461-13,461,13,화계맨숀,50.91,202309,16,"13,800",1,1975,덕릉로 12
서울특별시 영등포구 여의도동,41,41,0,대교,95.5,202305,25,"167,000",1,1975,국제금융로7길 20
서울특별시 영등포구 여의도동,42,42,0,한양,149.59,202305,1,"240,000",1,1975,국제금융로 79
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.3,202304,3,"66,000",1,1975,신길로 108
서울특별시 서대문구 홍제동,156-200,156,200,고은,62.58,202303,12,"40,000",1,1975,모래내로 453
서울특별시 용산구 이촌동,301-160,301,160,현대맨숀,83.3,202310,14,"178,998",2,1975,이촌로 303
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202310,7,"79,607",2,1975,신길로 108
서울특별시 구로구 개봉동,366-1,366,1,왕궁,65.46,202310,3,"31,900",2,1975,개봉로1길 22
