pid,hid,p21age1,est_1,est_2,est_3,est_4,est_5,est_6,est_7,est_8,est_9,est_10,satis_1,satis_2,satis_3
2010001,20100,69,3,2,1,3,3,3,3,3,1,1,4,4,4
2010002,20100,41,4,3,1,3,2,3,3,3,1,1,5,4,4
2030001,20300,40,3,2,1,3,3,3,3,3,2,2,4,4,4
2030002,20300,41,3,3,1,3,2,3,3,3,1,1,5,4,4
2030003,20300,16,3,2,1,3,3,2,2,3,2,2,4,5,4
2040001,20400,59,3,2,2,2,3,2,2,3,2,1,3,4,4
2050001,20500,51,3,3,1,3,3,2,2,4,2,2,5,4,5
2060001,20600,88,3,2,2,2,3,2,2,3,3,1,4,4,4
2070001,20700,57,3,3,1,3,2,3,3,3,1,1,5,5,5
2070002,20700,55,3,3,2,3,2,3,3,3,2,2,4,5,4
2070003,20700,21,2,2,1,3,2,2,3,2,1,1,5,5,4
2080001,20800,61,3,2,2,3,3,2,2,3,1,1,4,5,4
2080002,20800,58,3,2,1,2,3,3,3,2,1,1,4,4,4
2080003,20800,31,3,3,1,2,3,3,2,3,1,1,4,4,4
2080004,20800,27,3,3,1,3,2,3,3,2,1,1,5,4,4
2100001,21000,83,4,2,1,3,3,3,3,3,2,1,4,4,4
2100002,21000,66,3,3,1,3,2,3,3,3,1,1,4,4,4
2110001,21100,73,3,2,2,2,3,2,2,3,1,2,4,4,4
2110002,21100,68,3,2,2,2,3,2,2,3,1,1,4,5,4
2110003,21100,42,3,3,1,3,2,3,3,3,1,1,5,4,5
2120001,21200,83,3,3,2,3,2,3,3,3,2,2,4,3,4
2120002,21200,79,3,3,2,3,2,3,3,3,2,2,4,3,4
2130001,21300,78,2,3,1,2,1,2,1,2,3,2,4,5,5
2130002,21300,76,2,2,1,2,1,1,2,3,3,2,3,4,3
2140002,21400,72,3,2,2,2,3,2,2,3,3,2,3,4,4
2150001,21500,73,3,3,2,2,3,2,2,3,1,1,4,4,4
2150002,21500,65,3,3,1,3,3,3,3,3,2,1,5,5,5
2170001,21700,53,3,2,1,3,3,3,3,2,1,1,4,5,4
2170002,21700,49,3,2,1,2,3,2,2,3,1,1,4,5,4
2170003,21700,25,3,3,1,4,2,3,3,2,1,1,5,4,5
2170004,21700,21,4,3,1,4,2,3,3,3,1,1,5,4,4
2180001,21800,61,3,2,2,2,3,2,2,3,1,1,4,4,4
2180002,21800,54,3,2,1,3,3,3,3,2,1,1,4,5,4
2180003,21800,29,3,2,1,3,3,2,2,3,1,1,4,5,4
2180004,21800,27,3,2,2,2,3,2,2,3,2,1,5,4,4
2180005,21800,20,3,2,1,2,3,2,2,2,1,1,4,4,4
2190001,21900,46,3,3,1,3,2,3,3,3,2,2,5,5,4
2190002,21900,42,3,3,1,3,3,3,3,3,1,1,5,4,4
2200002,22000,65,3,3,1,3,2,3,3,2,1,1,5,5,5
2210001,22100,82,3,2,2,2,3,2,2,3,1,1,4,3,3
2210002,22100,77,2,3,2,2,3,2,2,3,3,2,3,3,3
