code,lat,lon
1845,37.580178,127.046835
1861,37.312752,127.108196
1859,37.339824,127.108942
1862,37.324753,127.107395
1865,37.275619,127.115936
1846,37.265974,126.999874
1800,37.362357,126.738714
1878,37.379681,126.745177
1879,37.391769,126.742699
1880,37.40095,126.733522
1881,37.400614,126.722478
1882,37.401637,126.708627
1883,37.407722,126.695216
1884,37.412603,126.687389
1885,37.417804,126.67894
1886,37.428514,126.657772
1888,37.448493,126.649619
1889,37.460789,126.638297
1891,37.476691,126.616936
1890,37.46874,126.623853
4314,37.337928,127.102976
4315,37.322702,127.095026
4316,37.313335,127.0801
4317,37.297664,127.069342
4318,37.288617,127.051478
4312,37.36706,127.108105
4313,37.350077,127.10891
4309,37.470023,127.03842
4311,37.394761,127.111217
4319,37.30211,127.044483
4307,37.497175,127.027926
4308,37.484147,127.034631
4310,37.447211,127.055664
4502,37.270161,127.126033
4503,37.269606,127.136515
4504,37.274917,127.143714
4505,37.269043,127.152716
4506,37.260752,127.159443
4509,37.239151,127.178406
4510,37.237964,127.190294
4511,37.237247,127.198781
4512,37.237845,127.209198
4513,37.24484,127.214251
4514,37.258965,127.218457
4515,37.267051,127.21364
4508,37.242115,127.168075
4517,37.285342,127.219561
4501,37.275619,127.115936
4701,37.663146,127.012789
4702,37.656088,127.013252
4703,37.649593,127.013746
4704,37.641701,127.016792
4707,37.621512,127.02048
4708,37.62124,127.013528
4709,37.612343,127.008009
4710,37.602798,127.01349
4711,37.592624,127.016403
4712,37.585286,127.019381
4713,37.575297,127.025087
4705,37.634802,127.017519
4706,37.627165,127.018152
4608,37.745271,127.056947
4609,37.748885,127.06362
4610,37.75059,127.071495
4611,37.754025,127.076902
4602,37.724846,127.046895
4603,37.728755,127.04353
4604,37.737202,127.043257
4605,37.739256,127.034781
4606,37.743302,127.037023
4607,37.743676,127.049565
4612,37.750471,127.083715
4613,37.742802,127.085035
4601,37.727048,127.052803
4614,37.737279,127.087159
4615,37.733579,127.088704
