Date,Open,High,Low,Close,Adj Close,Volume
2015-04-29,27340,27880,27280,27700,273.16864,10895650
2015-04-30,27700,28360,27580,28200,278.099457,18352850
2015-05-04,28140,28460,27940,28000,276.127106,8283700
2015-05-06,27800,27820,27120,27240,268.632263,13270500
2015-05-07,27240,27500,27080,27400,270.210083,10257400
2015-05-08,27320,27400,26760,26760,263.898651,9488100
2015-05-11,27200,27200,26720,26720,263.504181,9640450
2015-05-12,26900,27060,26480,26620,262.517975,10633200
2015-05-13,26980,26980,26520,26660,262.912445,9877250
2015-05-14,26820,26860,26560,26800,264.293091,8488500
2015-05-15,27100,27120,26420,26520,261.53183,8922350
2015-05-18,26700,26700,26180,26400,260.348419,9626850
2015-05-19,26420,27100,26140,26760,263.898651,8680900
2015-05-20,26980,27400,26820,27320,269.421173,10291450
2015-05-21,27420,27440,26880,27040,266.659882,7210600
2015-05-22,27060,27060,26700,27000,266.265442,8195800
2015-05-26,27320,27380,26720,27240,268.632263,10034150
2015-05-27,27200,27320,26260,26280,259.165039,17265450
2015-05-28,26340,26420,26020,26180,258.178833,15048150
2015-05-29,26400,26420,25940,26140,257.784393,17380750
2015-06-01,26000,26020,25760,25820,254.628677,10921950
2015-06-02,26000,26060,25760,26060,256.995483,8757550
2015-06-03,26060,26320,25300,25460,251.0784,11769400
2015-06-04,26300,26820,26100,26740,263.701385,19411950
2015-06-05,26500,27100,26400,26820,264.490356,9828150
2015-06-08,26900,26940,26260,26280,259.165039,10118950
2015-06-09,26000,26200,25360,25640,252.853561,13735250
2015-06-10,25640,25880,25240,25240,248.908875,12501700
2015-06-11,25260,25480,25060,25140,247.922714,15314050
2015-06-12,25560,25740,25280,25540,251.86734,11741500
2015-06-15,25100,25480,25100,25400,250.486725,8067800
2015-06-16,25400,25480,24900,25100,247.528229,12767600
2015-06-17,25000,25320,24800,25080,247.330994,9452300
2015-06-18,25180,25580,25020,25300,249.500565,8247600
