hid,h21area,h21hhld,h21fly_typ,h21houstyp,h21h_income1,h21h_income2
108200,1,1,1,1,1,1
108300,1,5,3,3,5,3
108500,8,5,3,2,9,5
108600,8,3,3,1,15,6
108700,8,3,3,2,16,6
109000,8,5,3,2,11,6
109200,8,3,3,2,19,6
109300,8,5,3,2,20,6
109400,1,4,3,3,8,4
109500,8,4,3,2,9,5
109700,8,3,3,2,11,6
109800,8,5,4,2,14,6
110000,5,2,2,2,7,4
110001,5,2,2,1,10,5
110100,5,4,3,2,14,6
110200,5,3,3,2,9,5
110300,5,5,3,2,20,6
110400,5,2,2,2,8,4
110401,13,1,1,1,5,3
110500,5,5,3,2,18,6
110600,5,3,3,1,11,6
110601,5,2,2,2,9,5
110700,5,5,3,2,15,6
110800,5,3,4,2,7,4
111000,5,3,3,2,7,4
111100,5,3,3,2,8,4
111200,5,3,4,2,12,6
111400,5,4,3,2,9,5
111600,5,2,2,2,8,4
111700,5,2,2,2,3,2
111800,5,4,3,2,12,6
111900,5,5,3,2,22,6
112000,5,3,3,2,8,4
112200,5,4,3,2,10,5
112300,5,2,2,2,4,2
112500,5,4,3,1,11,6
112600,8,6,4,2,13,6
112900,8,5,3,2,12,6
113500,7,4,3,2,7,4
113600,7,3,3,2,18,6
113800,7,3,3,2,9,5
113900,7,3,3,2,8,4
114000,7,4,3,2,13,6
114100,7,4,3,2,9,5
114200,7,4,3,2,11,6
114300,7,4,3,2,11,6
114400,7,4,3,2,11,6
114600,7,5,3,2,7,4
114700,7,4,3,2,19,6
114800,7,2,2,2,3,2
114900,7,4,3,2,14,6
115100,7,4,3,2,16,6
115200,7,4,3,2,20,6
115300,7,4,3,2,11,6
115600,7,2,2,2,10,5
115800,7,2,2,2,2,1
115900,7,2,2,2,7,4
116200,7,3,3,2,8,4
116300,7,1,1,1,1,1
116400,7,1,1,1,1,1
116600,7,5,3,1,6,3
116700,7,1,1,1,4,2
116800,7,1,1,1,1,1
116900,7,4,3,1,12,6
117000,7,2,2,1,5,3
117100,7,2,2,1,7,4
117200,7,3,3,1,6,3
117600,8,4,3,2,11,6
118000,8,1,1,2,3,2
118100,8,2,3,2,6,3
119100,8,4,3,2,15,6
119200,8,4,3,2,21,6
120400,7,3,3,1,10,5
120500,7,2,2,1,4,2
120700,7,2,2,1,6,3
121000,7,3,3,1,9,5
121100,7,4,3,2,16,6
121400,7,2,3,3,3,2
121600,7,4,5,2,9,5
121700,7,5,5,2,11,6
121800,7,4,4,2,13,6
122000,7,2,3,2,6,3
122200,7,1,1,2,6,3
122400,7,2,2,1,4,2
122600,7,1,1,3,6,3
122700,7,1,1,3,6,3
122800,7,1,1,3,4,2
122900,7,3,3,2,11,6
123100,7,3,3,2,8,4
123200,7,4,3,2,10,5
123300,7,4,4,2,7,4
123400,7,3,3,2,13,6
123500,7,4,3,2,7,4
123600,7,2,2,2,8,4
123700,7,4,3,2,7,4
123800,7,2,2,2,8,4
123900,7,3,3,2,7,4
124000,7,3,3,2,13,6
124200,7,3,3,2,7,4
124400,7,4,3,2,7,4
124500,7,3,3,2,7,4
124600,7,5,3,2,10,5
124700,7,4,3,2,9,5
124800,7,3,3,2,7,4
124900,1,5,3,2,8,4
125000,1,4,3,2,22,6
125100,1,4,3,2,22,6
125500,1,1,1,1,2,1
125700,1,4,3,5,6,3
125800,1,2,2,1,4,2
125900,4,3,3,3,18,6
126100,4,3,3,3,6,3
126500,4,3,3,2,8,4
126600,1,2,3,2,14,6
126800,1,4,3,2,19,6
126900,1,4,3,2,10,5
127300,1,2,2,1,2,1
127400,1,2,2,1,4,2
127600,1,5,3,3,3,2
127700,1,1,1,3,2,1
127800,1,3,5,3,20,6
127900,1,3,5,2,18,6
128100,4,4,3,2,7,4
128300,4,4,3,2,8,4
128400,8,4,3,2,11,6
128500,8,4,3,2,10,5
128600,4,4,3,2,13,6
128700,4,2,3,2,6,3
128800,4,3,3,2,6,3
129000,7,3,3,1,13,6
129100,7,2,2,1,4,2
129300,7,2,2,1,6,3
129600,2,2,2,1,5,3
129800,2,4,3,2,10,5
129900,2,5,3,2,11,6
130000,2,2,3,1,21,6
130100,2,4,4,1,5,3
130400,2,3,3,1,5,3
130600,2,3,3,1,12,6
130700,2,3,3,1,7,4
130800,2,2,3,1,10,5
130900,2,3,3,1,4,2
131000,2,1,1,1,2,1
131100,2,1,1,1,4,2
131300,2,2,2,1,4,2
131400,2,1,1,1,2,1
131500,2,4,4,1,8,4
131600,1,2,3,2,10,5
131700,4,2,2,1,5,3
131800,1,5,4,2,22,6
131900,4,5,3,2,11,6
132000,4,4,3,2,7,4
132100,2,2,2,2,2,1
132200,2,2,3,2,10,5
132300,2,2,2,2,3,2
132400,2,1,1,2,2,1
132500,2,1,1,2,8,4
132600,2,1,1,2,2,1
132700,2,1,1,2,1,1
132900,2,3,3,2,8,4
133400,2,3,3,1,16,6
133600,2,2,2,1,4,2
133800,2,1,1,1,2,1
134000,2,1,1,3,4,2
134100,2,2,3,1,12,6
134200,2,1,1,1,2,1
134300,2,3,3,2,11,6
134400,8,4,3,2,16,6
134500,8,4,3,2,13,6
134600,2,4,3,2,8,4
134900,8,7,4,1,15,6
135000,8,5,4,1,18,6
135100,8,3,5,1,9,5
135200,8,2,2,1,4,2
135300,8,2,2,1,3,2
135500,8,1,1,2,4,2
135600,8,4,4,2,18,6
135700,8,2,2,2,5,3
135800,8,5,3,2,11,6
135900,8,4,3,2,16,6
136000,8,5,3,2,10,5
136100,8,4,3,2,7,4
136300,8,4,3,2,14,6
136400,8,2,2,2,2,1
136600,8,4,3,2,15,6
137000,8,4,3,2,18,6
137400,8,1,1,1,2,1
137500,8,2,2,1,2,1
137600,8,3,5,1,5,3
137700,8,4,3,3,8,4
137800,8,6,3,2,11,6
137900,8,4,3,3,8,4
138200,8,4,3,3,15,6
138300,8,4,3,3,14,6
138400,8,4,3,3,16,6
138600,8,2,2,3,8,4
138700,8,2,2,1,2,1
138900,8,4,3,2,9,5
139000,8,4,3,2,11,6
139400,8,3,4,3,14,6
139500,8,4,3,2,14,6
139600,8,3,3,2,16,6
139700,8,4,3,2,13,6
139800,8,2,2,2,5,3
139900,8,4,3,2,16,6
140000,1,2,3,1,7,4
140200,2,2,2,1,4,2
140300,2,4,4,1,6,3
140400,2,1,1,1,6,3
140600,2,1,1,1,4,2
140700,2,1,1,1,2,1
140800,2,1,1,1,2,1
140900,2,4,3,1,10,5
141100,2,2,2,1,3,2
141300,2,2,2,1,10,5
141600,2,2,3,2,5,3
141700,2,2,2,1,5,3
141800,2,1,1,2,1,1
142000,7,1,1,1,1,1
142400,7,4,3,2,8,4
142600,7,4,3,2,6,3
143000,7,5,4,2,8,4
143300,2,3,3,2,6,3
143400,7,6,3,1,7,4
143600,7,5,3,1,14,6
143700,7,5,3,2,10,5
143800,7,5,3,1,15,6
144000,1,5,3,1,13,6
144700,8,3,3,2,9,5
144800,1,3,3,1,12,6
144900,8,2,2,2,4,2
145300,1,2,5,3,4,2
145400,1,3,3,2,7,4
145500,1,2,2,1,6,3
145600,1,3,3,2,21,6
145800,1,3,3,1,19,6
145900,1,3,3,2,20,6
146000,1,3,3,1,18,6
146200,8,3,3,2,7,4
146300,1,4,3,1,9,5
146400,1,3,3,1,12,6
146600,1,3,3,1,20,6
146700,1,4,3,3,10,5
147000,1,4,3,1,9,5
147100,1,2,3,3,8,4
147300,1,3,3,1,7,4
147400,1,4,3,2,16,6
147500,1,2,2,2,3,2
147600,1,5,4,2,18,6
