pid,hid,housenum,p20ans,p21ans,p20area,p20area_siz,p20hhldsiz,p20gender,p20age1,p20school,p20mar,p20income1,p20job1,p20job2,p20relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p20d25040,p20d25041,p20d25042,p20d25043,p20d25044,p20d25045,p20d25046,p20d25047,p20d25048,p20d25049,p20d25050,p20d25051,p20d25052,p20d25053,p20d25054,p20d25055,p20d25056,p20d25057,p20d25058,p20d25059,p20d25060,pc_ability,p20d25061,p20d25062,p20d25063,p20d25064,p20d25065,p20d25066,p20d25067,p20d25068,p20d25070,p20d25071,p20d25072,p20d25073,p20d25074,p20d25075,p20d25076,p20d25077,p20d25078,p20d25079,p20d25080,p20d25081,p20d25082,p20d25083,p20d25084,p20d25085,p20d25086,smart_ability,p20h01001,p20h01002,p20h01003,p20h01004,p20h01005,p20h01006,p20h01007,p20h01008,p20h01009,p20h01010,esteem
300003,3000,3,1,1,1,1,3,2,33,5,1,5,1,1,1,1,6,4,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,5,5,5,4.571428571,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,4,4,4,4,3,3,3,4.48,3,2,2,3,2,3,2,2,1,3,28
300004,3000,4,1,1,1,1,3,1,31,4,1,5,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,4,3,4,3,3,3,4.333333333,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,4,5,4,5,4,3,3,3,4.4,3,2,2,3,2,3,2,2,1,3,28
310001,3100,1,1,1,1,1,3,1,61,4,2,7,1,3,1,1,1,9,2, , , , ,0,0,0,0,0,3,3,3,4,4,4,2,2,3,3,3,2,3,3,3,2,2,1,1,1,1,2.523809524,4,4,4,4,4,4,4,3,3,2,3,3,2,2,3,3,3,3,2,2,2,3,1,1,1,2.8,3,2,2,3,2,2,2,2,3,2,26
310002,3100,2,1,1,1,1,3,2,57,4,2,5,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,3,2,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,1,1,1,1,2.333333333,4,4,4,4,4,3,3,3,3,2,3,3,3,2,3,2,2,2,2,1,1,1,1,1,1,2.48,3,2,2,3,2,1,2,2,2,1,27
310003,3100,3,1,1,1,1,3,2,28,5,1,7,1,1,1,1,5,5,2, , , , ,0,0,0,0,0,5,5,5,5,4,4,5,4,5,5,5,5,4,4,4,4,3,3,3,3,3,4.19047619,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,5,5,5,4,4,3,4,4,3,4,4.4,3,2,1,2,3,2,2,3,1,2,26
310004,3100,4,1,1,1,1,3,2,26,5,1,5,1,1,1,1,5,5,2, , , , ,0,0,0,0,0,5,5,4,5,4,5,5,5,4,4,4,5,5,5,4,4,3,3,3,3,4,4.238095238,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4.44,3,2,1,3,2,2,2,2,1,2,29
320001,3200,1,1,1,1,1,3,1,84,2,2,2,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,2,2,3,4,2,20
320002,3200,2,1,1,1,1,3,2,83,2,2,2,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.28,2,2,3,3,4,1,1,2,4,2,19
320003,3200,3,1,1,1,1,3,1,49,4,1,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,3,4,4,4,3,2,3,3,3,2,4,4,4,4,2,2,2,2,3,3.142857143,5,5,5,5,5,4,4,4,3,2,4,4,3,3,5,5,5,5,4,3,3,2,2,2,2,3.76,2,2,4,3,4,2,1,2,4,2,19
330001,3300,1,1,1,1,1,1,2,81,2,3,2,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.24,2,2,2,3,3,2,1,3,4,2,21
